family,push_intensity,source_norma,note
fraude,3,"TSE jurisprudencia fraude a cota de genero (consolidada 2021-2024); Res. 23.609/2019","Gender-quota fraud became a settled, aggressively-enforced cassation vehicle between 2020 and 2024 (38 cassations already in 2020, consolidated doctrine by 2023-24). Major supply expansion. VERIFY intensity."
direito_resposta,3,"Res. 23.714/2022 (fake news / poder de policia); Res. 23.732/2024 (deepfake ban, 24h takedown, AI disclosure)","Disinformation regime created powerful new right-of-reply / takedown vehicles for the 2024 cycle. VERIFY."
honra,2,"Lei 14.192/2021 (violencia politica contra a mulher); Res. 23.610 amend. Dec-2021; disinformation false-fact provisions","New causes of action for harassment / false-fact dissemination 2021-2024. VERIFY whether honra or a separate VPM family."
abuso,1,"Lei 14.192/2021 VPM overlap; AIJE doctrine otherwise stable","Minor push via VPM-as-abuse-of-power; core AIJE rules unchanged. VERIFY."
conduta_vedada,0,"LC 64/90, art. 73 Lei 9.504/97 stable","No material rule change 2020-2024."
vote_buying,0,"Art. 41-A Lei 9.504/97 stable","Captacao ilicita de sufragio rules unchanged."
inelegib,0,"LC 64/90 stable","Ineligibility grounds unchanged across the window."
finance,0,"Campaign-finance accounting rules broadly stable","No material supply push."
pesquisa_adv,0,"Electoral-poll registration rules stable","No material supply push."
ballot_integrity,0,"Ballot/voting-process rules stable","No material supply push."
